Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v4.0 Base Score,CVSS v4.0 Base+Threat Score,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,VPR Score,EPSS Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10107","","","None","10.10.1.10","tcp","9443","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

nginx","","","","","","","","","None","","IAVT:0001-T-0931","","2000/01/04","2020/10/30","","",""
"10107","","","None","10.10.1.10","tcp","54042","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

nginx","","","","","","","","","None","","IAVT:0001-T-0931","","2000/01/04","2020/10/30","","",""
"10114","CVE-1999-0524","2.1","Low","10.10.1.10","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","","The difference between the local and remote clocks is 1 second.
","","","","","","","","0.0037","Low","","CWE:200","","1999/08/01","2024/10/07","","",""
"10267","","","None","10.10.1.10","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.","n/a","","
SSH version : SSH-2.0-OpenSSH_8.9p1 Ubuntu-3ubuntu0.15
SSH supported authentication : publickey
","","","","","","","","","None","","IAVT:0001-T-0933","","1999/10/12","2024/07/24","","",""
"10287","","","None","10.10.1.10","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 10.8.0.1 to 10.10.1.10 : 
10.8.0.1
10.8.0.2
10.10.1.10

Hop Count: 2
","","","","","","","","","None","","","","1999/11/27","2023/12/04","","",""
"10863","","","None","10.10.1.10","tcp","9443","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Common Name: soc.au.managesoc.com

Issuer Name: 

Country: US
Organization: Let's Encrypt
Common Name: R13

Serial Number: 06 02 BD 0C 9A 7F 9D 2B A6 49 58 F1 E8 7D DD 71 44 7B 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Mar 03 08:07:29 2026 GMT
Not Valid After: Jun 01 08:07:28 2026 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 B8 0C 72 63 EB 1A 78 02 3B 8D 0E AB F6 61 E3 FB 72 EF 52 
            4A D5 6F 9E 9A A6 AC 72 75 25 60 81 AD 2A EC 56 67 C5 12 C1 
            1E E2 8E AD C1 7D B9 1A B1 9C 5A BC 98 63 21 A8 59 E5 66 CC 
            9B 76 3B 35 11 CB B6 42 99 F7 44 1E 58 4A DB 55 25 9C 4C A6 
            49 1F 55 24 93 D2 F0 13 73 A4 88 02 C9 06 D3 DD 6E B7 C0 97 
            84 CA B0 35 C0 15 31 1B 29 43 68 F2 EB 4A D4 CD 11 27 BC 5E 
            2B 5F 76 45 28 18 51 5C C8 73 CB 83 7F E2 2B DB 22 06 EA 8D 
            BB B9 73 CA 0A AA EB 7D 34 50 6E A6 90 27 31 E0 72 75 E2 20 
            E0 2B 91 2A 3E E5 6F 64 E1 5B CE 95 43 AA CD 24 49 F6 2C 92 
            57 EB DC C7 4D B2 9E E7 44 D4 29 02 7A 10 B9 3C B0 4B 25 98 
            32 57 1E 30 32 C3 23 C2 77 B1 70 3E 02 8D 9F F6 99 54 1F 48 
            67 41 F3 11 BD D5 35 80 75 A2 DA 2C 90 32 09 FF 5C 49 5E 32 
            27 D1 99 A3 A8 79 0A FC 7E E2 C7 C2 38 36 FB 9F 51 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 2A 3C FD 00 BD 88 56 54 6C AF 35 9C 9F 6B 8A A1 3D 28 32 
           FB E8 83 55 83 64 95 98 91 BA 82 FE 79 2C 56 10 8D BD 69 54 
           3C A0 C6 0A AF 62 05 C7 52 00 4D 6F 7A 83 34 D4 A0 5F 30 2F 
           8E 89 D9 2F 12 74 10 39 05 7F 1F 30 D6 80 5A C0 0E 67 A6 2D 
           D8 B0 47 BB 5E 8D 06 10 94 34 7D B5 D9 39 70 5D 3E D1 FD FB 
           BB 8F E0 E4 2F 09 C3 16 CB 07 7F 70 8F AF A1 87 52 3F AD A3 
           3E D2 CF 5B FF 43 50 D9 56 3A F2 14 E7 C4 F6 4D F9 90 56 BA 
           FF BC FC 83 89 8F 20 1A F4 CA 17 B4 1F DF 0D F8 D5 E3 56 D5 
           FA A2 47 1E 8F 90 5F D0 88 9B F4 EF FB EA F1 BF 6A 17 23 A3 
           32 FF E4 19 12 DD 82 39 66 76 CD FB 8C 6C 23 D8 E3 B5 D3 31 
           D3 6B 10 6C 97 A3 80 CB 20 E2 F4 7C 0A 39 6E F3 38 0A 6F 08 
           1E 1D 0E 5F 7E DD DB F4 1C 45 6C ED 95 DA 01 1E 07 EA 05 1E 
           B8 35 33 28 EA 44 06 FA 71 45 6A 04 FA 55 93 89 15 

Extension: Key Usage(2.5.29.15)
Critical: 1
Key Usage: Digital Signature, Key Encipherment


Extension: Extended Key Usage(2.5.29.37)
Critical: 0
Purpose#1: Web Server Authentication (1.3.6.1.5.5.7.3.1)


Extension: Basic Constraints(2.5.29.19)
Critical: 1


Extension: Subject Key Identifier(2.5.29.14)
Critical: 0
Subject Key Identifier: D8 0A 77 AD 96 4D AA C0 B8 BF AE DF 06 DF 34 23 22 5A 56 87 


Extension: Authority Key Identifier(2.5.29.35)
Critical: 0
Key Identifier: E7 AB 9F 0F 2C 33 A0 53 D3 5E 4F 78 C8 B2 84 0E 3B D6 92 33 


Extension: Authority Information Access(1.3.6.1.5.5.7.1.1)
Critical: 0
Method#1: Certificate Authority Issuers
URI: http://r13.i.lencr.org/


Extension: Subject Alternative Name(2.5.29.17)
Critical: 0
DNS: soc.au.managesoc.com


Extension: Policies(2.5.29.32)
Critical: 0
Policy ID #1: 2.23.140.1.2.1


Extension: CRL Distribution Points(2.5.29.31)
Critical: 0
URI: http://r13.c.lencr.org/124.crl


Extension: 1.3.6.1.4.1.11129.2.4.2
Critical: 0
Data: 04 81 F2 00 F0 00 76 00 64 11 C4 6C A4 12 EC A7 89 1C A2 02 
      2E 00 BC AB 4F 28 07 D4 1E 35 27 AB EA FE D5 03 C9 7D CD F0 
      00 00 01 9C B2 F2 71 19 00 00 04 03 00 47 30 45 02 21 00 B8 
      6E 17 93 4A ED BC A0 FB 6F 1C FF 9C B3 36 B7 9E A1 C2 34 EA 
      E8 8F AC F7 1F BA 79 20 D7 28 A4 02 20 2D ED B1 2D 92 B1 EC 
      E2 5B 32 B9 5B 41 7D 48 56 5D 35 8A D8 8C 29 84 ED DE 1C 7E 
      8A 7D 68 E0 CA 00 76 00 CB 38 F7 15 89 7C 84 A1 44 5F 5B C1 
      DD FB C9 6E F2 9A 59 CD 47 0A 69 05 85 B0 CB 14 C3 14 58 E7 
      00 00 01 9C B2 F2 71 19 00 00 04 03 00 47 30 45 02 21 00 8C 
      1D A1 F7 B2 C2 22 5A B4 53 6C ED E1 8C AC 37 43 81 69 6F DB 
      CD 7A A4 02 94 46 3D A0 85 8F F0 02 20 33 52 B0 2B A5 0B F8 
      DD 29 3A 48 9F A4 E1 7D 72 18 A9 92 93 BD B7 57 84 7A 51 D5 
      B8 2A 71 2F 99 


Fingerprints : 

SHA-256 Fingerprint: F7 63 AB E7 D8 A9 36 58 38 B5 83 17 35 77 78 2B BC 44 1C 9F 
                     DD EF A2 14 3B DB A2 53 67 86 B7 B3 
SHA-1 Fingerprint: B7 85 42 E1 DF 41 FB 01 3A 32 56 40 76 30 93 58 27 35 13 A5 
MD5 Fingerprint: 94 98 78 5A 81 A4 EA F4 D6 82 0B AA A7 00 6E 8E 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIE+zCCA+OgAwIBAgISBgK9DJp/nSumSVjx6H3dcUR7MA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTMwHhcNMjYwMzAzMDgwNzI5WhcNMjYwNjAxMDgwNzI4WjAfMR0wGwYDVQQDExRzb2MuYXUubWFuYWdlc29jLmNvbTCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBALgMcmPrGngCO40Oq/Zh4/ty71JK1W+emqascnUlYIGtKuxWZ8USwR7ijq3BfbkasZxavJhjIahZ5WbMm3Y7NRHLtkKZ90QeWErbVSWcTKZJH1Ukk9LwE3OkiALJBtPdbrfAl4TKsDXAFTEbKUNo8utK1M0RJ7xeK192RSgYUVzIc8uDf+Ir2yIG6o27uXPKCqrrfTRQbqaQJzHgcnXiIOArkSo+5W9k4VvOlUOqzSRJ9iySV+vcx02ynudE1CkCehC5PLBLJZgyVx4wMsMjwnexcD4CjZ/2mVQfSGdB8xG91TWAdaLaLJAyCf9cSV4yJ9GZo6h5Cvx+4sfCODb7n1ECAwEAAaOCAhswggIXMA4GA1UdDwEB/wQEAwIFoDATBgNVHSUEDDAKBggrBgEFBQcDATAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBTYCnetlk2qwLi/rt8G3zQjIlpWhzAfBgNVHSMEGDAWgBTnq58PLDOgU9NeT3jIsoQOO9aSMzAzBggrBgEFBQcBAQQnMCUwIwYIKwYBBQUHMAKGF2h0dHA6Ly9yMTMuaS5sZW5jci5vcmcvMB8GA1UdEQQYMBaCFHNvYy5hdS5tYW5hZ2Vzb2MuY29tMBMGA1UdIAQMMAowCAYGZ4EMAQIBMC8GA1UdHwQoMCYwJKAioCCGHmh0dHA6Ly9yMTMuYy5sZW5jci5vcmcvMTI0LmNybDCCAQQGCisGAQQB1nkCBAIEgfUEgfIA8AB2AGQRxGykEuyniRyiAi4AvKtPKAfUHjUnq+r+1QPJfc3wAAABnLLycRkAAAQDAEcwRQIhALhuF5NK7byg+28c/5yzNreeocI06uiPrPcfunkg1yikAiAt7bEtkrHs4lsyuVtBfUhWXTWK2IwphO3eHH6KfWjgygB2AMs49xWJfIShRF9bwd37yW7ymlnNRwppBYWwyxTDFFjnAAABnLLycRkAAAQDAEcwRQIhAIwdofeywiJatFNs7eGMrDdDgWlv2816pAKURj2ghY/wAiAzUrArpQv43Sk6SJ+k4X1yGKmSk723V4R6UdW4KnEvmTANBgkqhkiG9w0BAQsFAAOCAQEAKjz9AL2IVlRsrzWcn2uKoT0oMvvog1WDZJWYkbqC/nksVhCNvWlUPKDGCq9iBcdSAE1veoM01KBfMC+OidkvEnQQOQV/HzDWgFrADmemLdiwR7tejQYQlDR9tdk5cF0+0f37u4/g5C8JwxbLB39wj6+hh1I/raM+0s9b/0NQ2VY68hTnxPZN+ZBWuv+8/IOJjyAa9MoXtB/fDfjV41bV+qJHHo+QX9CIm/Tv++rxv2oXI6My/+QZEt2COWZ2zfuMbCPY47XTMdNrEGyXo4DLIOL0fAo5bvM4Cm8IHh0OX37d2/QcRWztldoBHgfqBR64NTMo6kQG+nFFagT6VZOJFQ==
-----END CERTIFICATE-----","","","","","","","","","None","","","","2008/05/19","2021/02/03","","",""
"10863","","","None","10.10.1.10","tcp","54042","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Domain Component: com
Domain Component: sov2
Organization Unit: SOCv2
Common Name: reverse-proxy-au.managesoc.com

Issuer Name: 

Common Name: Elastic Certificate Tool Autogenerated CA

Serial Number: 35 28 46 57 EF C1 22 45 FA B3 4E 3A 58 1A FF 84 02 41 E8 6C 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Dec 15 11:19:52 2025 GMT
Not Valid After: Dec 14 11:19:52 2028 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 DA 08 57 DB 00 90 F9 FE B9 42 E2 2C C1 6B F9 04 B6 E2 AE 
            ED 84 25 06 AB 71 5A 61 E4 D7 F3 6B F6 B8 3A 51 D7 7A 9F A3 
            51 FA 85 A3 F9 6A E2 5B 77 1C 76 8A 31 45 A8 88 7F 20 8F C9 
            48 40 CF 9A 90 3D 2F 4E 01 81 13 33 CD C1 21 40 3C C1 08 CD 
            5A C7 11 CD 25 AE D6 4C AE 58 F7 DB 2F 89 5F 9C B9 CD 36 0C 
            1A 37 43 FA A4 2E 26 56 93 1C 2A 6E 87 59 AB F9 2F 6E 6E A1 
            32 58 0A A3 F7 D9 5C DC E7 C4 BE 35 E4 21 52 09 AB A8 88 AE 
            EB 62 E6 EC DA 64 C0 03 C5 A2 CA F6 FA 0F 13 61 B2 5F 0E 8C 
            71 61 60 62 66 12 FB 8E CE D7 E0 34 A0 C4 43 D7 AE D1 38 B2 
            71 3D 91 C6 AF 76 25 EC 14 77 DF 1C F5 36 F6 E8 52 7E 07 B0 
            BC 76 78 EC B3 03 62 64 02 EF CB 96 21 9B C4 21 57 BF E5 53 
            D9 6F 2C D9 9A 4B 4F 20 F6 28 E6 38 A8 ED E4 47 B3 69 F2 CC 
            7C 28 A9 AA 72 DE 23 3E DF 10 04 4F 4E AB 38 FC 63 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 42 CB 20 BD 08 F5 D1 9B B3 52 52 FB BB B6 94 1C 81 3D D5 
           E8 A1 CA 28 94 86 EC EB 0D E1 24 BB 2D 5B 8A 1B 57 C9 E1 DC 
           4C 0F B4 02 30 D6 4E C3 73 66 5F 1F 48 E1 7B 9C 7C E9 AD 0E 
           2C 3C 1D 16 54 DE 3B A8 1F DC 57 F8 B1 88 EF 65 72 D5 35 9A 
           40 03 0A 86 CE 0D E8 A6 49 33 DA DD 5A 89 B2 29 1D AA A6 8E 
           3E 1C BD 40 F6 C0 48 E8 EC 2B 1A 25 9C 0D 6F 2A 00 8C BA F8 
           35 A3 F3 E6 09 AC 97 57 3E 48 BB 01 8A 90 3C D8 59 A0 B2 5F 
           47 77 86 9E 98 15 73 46 88 2D DF 34 92 FC 16 92 F6 C0 A5 F4 
           2E 6E DA 45 88 93 EA E9 5E 92 32 3B 32 23 3C FE 3F 93 7C 35 
           47 57 86 39 63 34 DF 23 C8 7F DE E6 92 04 13 9F 24 CE 3D 36 
           DF 06 27 58 3F 49 FC C8 5A A0 80 A7 6F 01 41 05 3E 72 07 93 
           50 15 07 D1 72 67 02 86 21 C6 26 43 95 1B 31 45 0B 67 D2 0D 
           44 BE E1 FB 5F 23 C7 03 4E 98 07 F5 CF E9 A2 75 AA 

Extension: Subject Key Identifier(2.5.29.14)
Critical: 0
Subject Key Identifier: CC B2 02 3F B7 CA 4C A7 94 D5 ED FF 0C 49 26 A0 C5 B3 B8 01 


Extension: Authority Key Identifier(2.5.29.35)
Critical: 0
Key Identifier: CC D1 F5 59 11 51 60 43 E0 44 36 84 89 0B 2A 17 89 3A 86 30 


Extension: Basic Constraints(2.5.29.19)
Critical: 0


Fingerprints : 

SHA-256 Fingerprint: 43 09 7E BB 2C 6D 74 54 6D 9B EA 73 21 0A 9A 0F 43 1B 6D 4D 
                     A3 F1 50 11 40 A5 E5 BF BB 6D D8 05 
SHA-1 Fingerprint: 4D 53 88 76 11 3F 7C D7 85 B8 00 C7 4A 81 AF C7 70 DA A8 95 
MD5 Fingerprint: 16 43 B1 5E 5C 81 B2 88 CB 64 0A 61 57 EC DB B0 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIDczCCAlugAwIBAgIUNShGV+/BIkX6s046WBr/hAJB6GwwDQYJKoZIhvcNAQELBQAwNDEyMDAGA1UEAxMpRWxhc3RpYyBDZXJ0aWZpY2F0ZSBUb29sIEF1dG9nZW5lcmF0ZWQgQ0EwHhcNMjUxMjE1MTExOTUyWhcNMjgxMjE0MTExOTUyWjBkMRMwEQYKCZImiZPyLGQBGRYDY29tMRQwEgYKCZImiZPyLGQBGRYEc292MjEOMAwGA1UECxMFU09DdjIxJzAlBgNVBAMTHnJldmVyc2UtcHJveHktYXUubWFuYWdlc29jLmNvbTCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBANoIV9sAkPn+uULiLMFr+QS24q7thCUGq3FaYeTX82v2uDpR13qfo1H6haP5auJbdxx2ijFFqIh/II/JSEDPmpA9L04BgRMzzcEhQDzBCM1axxHNJa7WTK5Y99sviV+cuc02DBo3Q/qkLiZWkxwqbodZq/kvbm6hMlgKo/fZXNznxL415CFSCauoiK7rYubs2mTAA8Wiyvb6DxNhsl8OjHFhYGJmEvuOztfgNKDEQ9eu0TiycT2Rxq92JewUd98c9Tb26FJ+B7C8dnjsswNiZALvy5Yhm8QhV7/lU9lvLNmaS08g9ijmOKjt5EezafLMfCipqnLeIz7fEARPTqs4/GMCAwEAAaNNMEswHQYDVR0OBBYEFMyyAj+3ykynlNXt/wxJJqDFs7gBMB8GA1UdIwQYMBaAFMzR9VkRUWBD4EQ2hIkLKheJOoYwMAkGA1UdEwQCMAAwDQYJKoZIhvcNAQELBQADggEBAELLIL0I9dGbs1JS+7u2lByBPdXoocoolIbs6w3hJLstW4obV8nh3EwPtAIw1k7Dc2ZfH0jhe5x86a0OLDwdFlTeO6gf3Ff4sYjvZXLVNZpAAwqGzg3opkkz2t1aibIpHaqmjj4cvUD2wEjo7CsaJZwNbyoAjLr4NaPz5gmsl1c+SLsBipA82Fmgsl9Hd4aemBVzRogt3zSS/BaS9sCl9C5u2kWIk+rpXpIyOzIjPP4/k3w1R1eGOWM03yPIf97mkgQTnyTOPTbfBidYP0n8yFqggKdvAUEFPnIHk1AVB9FyZwKGIcYmQ5UbMUULZ9INRL7h+18jxwNOmAf1z+midao=
-----END CERTIFICATE-----","","","","","","","","","None","","","","2008/05/19","2021/02/03","","",""
"10881","","","None","10.10.1.10","tcp","22","SSH Protocol Versions Supported","A SSH server is running on the remote host.","This plugin determines the versions of the SSH protocol supported by
the remote SSH daemon.","n/a","","The remote SSH daemon supports the following versions of the
SSH protocol :

  - 1.99
  - 2.0
","","","","","","","","","None","","","","2002/03/06","2026/01/12","","",""
"10884","","","None","10.10.1.10","udp","123","Network Time Protocol (NTP) Server Detection","An NTP server is listening on the remote host.","An NTP server is listening on port 123. If not securely configured,
it may provide information about its version, current date, current
time, and possibly system information.","n/a","http://www.ntp.org","
  An NTP service has been discovered, listening on port 123.

  No sensitive information has been disclosed.

  Version : unknown
","","","","","","","","","None","","IAVT:0001-T-0934","","2015/03/20","2021/02/24","","",""
"11002","","","None","10.10.1.10","tcp","53","DNS Server Detection","A DNS server is listening on the remote host.","The remote service is a Domain Name System (DNS) server, which
provides a mapping between hostnames and IP addresses.","Disable this service if it is not needed or restrict access to
internal hosts only if the service is available externally.","https://en.wikipedia.org/wiki/Domain_Name_System","","","","","","","","","","None","","","","2003/02/13","2017/05/16","","",""
