Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v4.0 Base Score,CVSS v4.0 Base+Threat Score,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,VPR Score,EPSS Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10107","","","None","10.6.1.10","tcp","80","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

nginx","","","","","","","","","None","","IAVT:0001-T-0931","","2000/01/04","2020/10/30","","",""
"10107","","","None","10.6.1.10","tcp","9443","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

nginx","","","","","","","","","None","","IAVT:0001-T-0931","","2000/01/04","2020/10/30","","",""
"10107","","","None","10.6.1.10","tcp","54042","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

nginx","","","","","","","","","None","","IAVT:0001-T-0931","","2000/01/04","2020/10/30","","",""
"10114","CVE-1999-0524","2.1","Low","10.6.1.10","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","","The remote clock is synchronized with the local clock.
","","","","","","","","0.0037","Low","","CWE:200","","1999/08/01","2024/10/07","","",""
"10267","","","None","10.6.1.10","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.","n/a","","
SSH version : SSH-2.0-OpenSSH_8.9p1 Ubuntu-3ubuntu0.15
SSH supported authentication : publickey
","","","","","","","","","None","","IAVT:0001-T-0933","","1999/10/12","2024/07/24","","",""
"10287","","","None","10.6.1.10","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 10.8.0.1 to 10.6.1.10 : 
10.8.0.1
10.6.1.10

Hop Count: 1
","","","","","","","","","None","","","","1999/11/27","2023/12/04","","",""
"10863","","","None","10.6.1.10","tcp","9443","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Common Name: soc.my.managesoc.com

Issuer Name: 

Country: US
Organization: Let's Encrypt
Common Name: R12

Serial Number: 05 4A 48 10 9E 06 FA 85 59 E6 1A DC 03 E5 EC AE 0E AA 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Feb 26 13:52:57 2026 GMT
Not Valid After: May 27 13:52:56 2026 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 9D 67 6D D5 AD 82 B2 B5 D6 10 79 54 6D 67 D0 2F 95 71 0A 
            6C 7B E6 B8 48 AD AF BE 56 B2 AF 34 43 F6 44 DB 1F 4F EF 00 
            AC 21 AF BC 2F BC CD 48 A6 D4 EB 79 27 CE D0 31 0E 30 40 7C 
            F7 FA 1D 6D 73 2A D9 00 E3 62 99 34 9C 56 9A 5B 71 3F 0B 9B 
            26 0B A0 8E 43 31 37 0B DC 77 F5 25 FF 77 73 10 DE F4 3E 04 
            07 E5 F6 4B B4 C0 34 9F 07 AF F0 38 CA 26 0E 24 D8 CB 9B 78 
            64 66 C2 30 AF 64 A3 4F 02 B2 8D D6 1E 4B 5A 5B 6D F4 A8 CE 
            11 88 98 C0 5F 9A F5 A4 2A 45 4E 59 6B 40 CE 57 C4 9B 63 35 
            D0 FD 3A 0E 53 71 58 B7 4D B5 C8 03 76 59 2D C7 51 81 74 5B 
            CB 11 D3 B5 19 FA FF F3 60 C2 E7 32 88 79 01 26 D3 5F 2D D4 
            64 68 4D 38 F7 61 21 91 74 03 5D F4 B8 3D AC 14 D5 92 FE E2 
            CE 1F D9 1E 3E 10 69 6D 51 88 27 6E 08 F1 48 BA F2 D2 1B B1 
            06 CB 84 02 51 2B C2 41 63 9F 46 AE D8 68 0F 35 39 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 D7 B9 56 21 38 CC F0 AA 37 08 3A 9C 2B 2B 7F 52 DF 66 B3 
           15 A6 50 54 C2 04 43 38 B4 5F 7C E0 25 EE E3 06 4E 12 46 F7 
           71 C6 BE D6 87 BB 09 A3 D1 86 DE 97 09 95 ED 87 31 46 56 C3 
           A4 38 68 73 3E 79 50 A0 83 D1 97 73 D9 16 2C E1 4E E7 F4 E9 
           3E F1 14 FC 12 F6 66 63 D1 E1 70 A6 21 39 CF 0C 72 02 C6 4A 
           FA C2 5D A9 ED 40 EC FB 5C A9 65 B0 F6 BA 49 73 F2 40 ED 23 
           6E 4F D3 75 D1 4D 25 A5 78 4A 71 38 0B 33 C0 80 01 74 56 B6 
           98 69 05 BB BA 10 F7 77 59 50 89 F6 E1 B0 F6 D2 E1 07 DD AC 
           18 1B 3D 26 97 98 5F F8 CB 15 92 9D 8A 38 82 9F 0D 26 F5 71 
           97 01 E8 55 9F 04 69 52 69 3A 68 60 2E DF E3 E3 7B 8C 2E DF 
           92 29 11 95 64 26 0D 1A BC C9 03 04 EE DF 16 A1 74 F1 57 4C 
           9B 7A B3 CD 89 82 2A 8C CD DC 73 C1 40 C0 CE 14 1F 8B 76 CF 
           75 F2 AE 1D 36 42 E0 BA EE 9D 89 F4 58 AD 54 39 69 

Extension: Key Usage(2.5.29.15)
Critical: 1
Key Usage: Digital Signature, Key Encipherment


Extension: Extended Key Usage(2.5.29.37)
Critical: 0
Purpose#1: Web Server Authentication (1.3.6.1.5.5.7.3.1)


Extension: Basic Constraints(2.5.29.19)
Critical: 1


Extension: Subject Key Identifier(2.5.29.14)
Critical: 0
Subject Key Identifier: 6B 57 26 92 70 72 9C A2 48 05 05 23 05 A2 FD DE 33 7E 75 9C 


Extension: Authority Key Identifier(2.5.29.35)
Critical: 0
Key Identifier: 00 B5 29 F2 2D 8E 6F 31 E8 9B 4C AD 78 3E FA DC E9 0C D1 D2 


Extension: Authority Information Access(1.3.6.1.5.5.7.1.1)
Critical: 0
Method#1: Certificate Authority Issuers
URI: http://r12.i.lencr.org/


Extension: Subject Alternative Name(2.5.29.17)
Critical: 0
DNS: soc.my.managesoc.com


Extension: Policies(2.5.29.32)
Critical: 0
Policy ID #1: 2.23.140.1.2.1


Extension: CRL Distribution Points(2.5.29.31)
Critical: 0
URI: http://r12.c.lencr.org/43.crl


Extension: 1.3.6.1.4.1.11129.2.4.2
Critical: 0
Data: 04 81 F3 00 F1 00 76 00 49 9C 9B 69 DE 1D 7C EC FC 36 DE CD 
      87 64 A6 B8 5B AF 0A 87 80 19 D1 55 52 FB E9 EB 29 DD F8 C3 
      00 00 01 9C 9A 6E EF CE 00 00 04 03 00 47 30 45 02 21 00 E3 
      23 89 63 A6 1A DA B4 66 82 F5 B0 14 0A D5 17 B4 3E C4 E8 75 
      96 8F 6D 18 EC 76 02 8D 4E 17 9E 02 20 28 F8 5E F1 85 96 DE 
      86 90 54 17 73 89 92 E8 07 E9 0D A3 3D C8 77 EF FB 14 49 0D 
      26 E1 5A B4 BB 00 77 00 D1 6E A9 A5 68 07 7E 66 35 A0 3F 37 
      A5 DD BC 03 A5 3C 41 12 14 D4 88 18 F5 E9 31 B3 23 CB 95 04 
      00 00 01 9C 9A 6E F2 27 00 00 04 03 00 48 30 46 02 21 00 F9 
      F3 62 FE 8B 80 C9 EA 60 61 9B 5E A0 E3 1E 62 39 94 EC 64 CB 
      F4 96 DD E4 6F 0C 88 1B 3D 92 7D 02 21 00 81 4C 7E A9 F5 3F 
      FE 72 B1 F8 9C BD 90 FE 47 D8 BA A9 29 52 AE F7 7A 89 8A B0 
      45 27 08 46 1B 51 


Fingerprints : 

SHA-256 Fingerprint: CB 68 34 12 D9 C4 65 06 67 A7 29 12 37 1A 6F EF BF BF 66 69 
                     46 6C D5 3D 57 6E BC 78 F5 AB 58 A3 
SHA-1 Fingerprint: 74 7F 3F 35 2A A0 5A A7 95 CF 5A 03 50 72 F4 F5 0E 2F E3 1E 
MD5 Fingerprint: 2A 0A 20 35 13 7E CA 49 84 7E D8 48 A4 73 D9 0E 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIE+zCCA+OgAwIBAgISBUpIEJ4G+oVZ5hrcA+Xsrg6qMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTIwHhcNMjYwMjI2MTM1MjU3WhcNMjYwNTI3MTM1MjU2WjAfMR0wGwYDVQQDExRzb2MubXkubWFuYWdlc29jLmNvbTCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAJ1nbdWtgrK11hB5VG1n0C+VcQpse+a4SK2vvlayrzRD9kTbH0/vAKwhr7wvvM1IptTreSfO0DEOMEB89/odbXMq2QDjYpk0nFaaW3E/C5smC6COQzE3C9x39SX/d3MQ3vQ+BAfl9ku0wDSfB6/wOMomDiTYy5t4ZGbCMK9ko08Cso3WHktaW230qM4RiJjAX5r1pCpFTllrQM5XxJtjNdD9Og5TcVi3TbXIA3ZZLcdRgXRbyxHTtRn6//NgwucyiHkBJtNfLdRkaE0492EhkXQDXfS4PawU1ZL+4s4f2R4+EGltUYgnbgjxSLry0huxBsuEAlErwkFjn0au2GgPNTkCAwEAAaOCAhswggIXMA4GA1UdDwEB/wQEAwIFoDATBgNVHSUEDDAKBggrBgEFBQcDATAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBRrVyaScHKcokgFBSMFov3eM351nDAfBgNVHSMEGDAWgBQAtSnyLY5vMeibTK14Pvrc6QzR0jAzBggrBgEFBQcBAQQnMCUwIwYIKwYBBQUHMAKGF2h0dHA6Ly9yMTIuaS5sZW5jci5vcmcvMB8GA1UdEQQYMBaCFHNvYy5teS5tYW5hZ2Vzb2MuY29tMBMGA1UdIAQMMAowCAYGZ4EMAQIBMC4GA1UdHwQnMCUwI6AhoB+GHWh0dHA6Ly9yMTIuYy5sZW5jci5vcmcvNDMuY3JsMIIBBQYKKwYBBAHWeQIEAgSB9gSB8wDxAHYASZybad4dfOz8Nt7Nh2SmuFuvCoeAGdFVUvvp6ynd+MMAAAGcmm7vzgAABAMARzBFAiEA4yOJY6Ya2rRmgvWwFArVF7Q+xOh1lo9tGOx2Ao1OF54CICj4XvGFlt6GkFQXc4mS6AfpDaM9yHfv+xRJDSbhWrS7AHcA0W6ppWgHfmY1oD83pd28A6U8QRIU1IgY9ekxsyPLlQQAAAGcmm7yJwAABAMASDBGAiEA+fNi/ouAyepgYZteoOMeYjmU7GTL9Jbd5G8MiBs9kn0CIQCBTH6p9T/+crH4nL2Q/kfYuqkpUq73eomKsEUnCEYbUTANBgkqhkiG9w0BAQsFAAOCAQEA17lWITjM8Ko3CDqcKyt/Ut9msxWmUFTCBEM4tF984CXu4wZOEkb3cca+1oe7CaPRht6XCZXthzFGVsOkOGhzPnlQoIPRl3PZFizhTuf06T7xFPwS9mZj0eFwpiE5zwxyAsZK+sJdqe1A7PtcqWWw9rpJc/JA7SNuT9N10U0lpXhKcTgLM8CAAXRWtphpBbu6EPd3WVCJ9uGw9tLhB92sGBs9JpeYX/jLFZKdijiCnw0m9XGXAehVnwRpUmk6aGAu3+Pje4wu35IpEZVkJg0avMkDBO7fFqF08VdMm3qzzYmCKozN3HPBQMDOFB+Lds918q4dNkLguu6difRYrVQ5aQ==
-----END CERTIFICATE-----","","","","","","","","","None","","","","2008/05/19","2021/02/03","","",""
"10863","","","None","10.6.1.10","tcp","54042","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Domain Component: com
Domain Component: sov2
Organization Unit: SOCv2
Common Name: reverse-proxy-my.managesoc.com

Issuer Name: 

Common Name: Elastic Certificate Tool Autogenerated CA

Serial Number: 38 1E 85 0B 03 E7 50 D1 F1 93 6E FE C2 EB 34 64 96 FC 20 BF 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Dec 15 05:32:17 2025 GMT
Not Valid After: Dec 14 05:32:17 2028 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 AE 62 5C 31 C8 83 CE 60 DA A4 49 6D 58 4F 31 59 4A A6 65 
            58 8E 99 B9 00 8B 6B 2E A3 9E 3D 50 D1 B8 95 D1 7C 58 89 33 
            9B 12 05 3C 1E 4A 59 C4 61 3C 54 49 3B 05 EC 9D FB 61 60 6C 
            4D C2 C1 88 91 E5 20 16 8B E6 B4 B1 DB 98 B3 51 DB 73 76 70 
            0B 4D A4 2C 36 20 47 18 E3 AD 6F 5C F4 12 63 16 9F F1 A0 23 
            BC 15 9D 36 43 43 25 95 6F DA 1E 67 8F 5C AB F7 DA 69 77 FE 
            83 BE 57 EA 89 CC 96 6D B9 36 79 18 AA 9B 62 EF 58 58 28 53 
            05 BB CE 18 B3 73 B3 4A 4A A7 40 74 CC 26 3C A1 E4 DD A5 A7 
            A0 DD 1A CF 85 4F FB 09 DC 7A DE B1 7E 8C CA B3 C4 8A C9 8C 
            7C 7F B3 4A ED B5 27 66 23 E5 65 DF 0F 62 50 4D E6 22 FA 5A 
            54 3D C1 FE 0A 8D CC 2D F1 7D EC 69 76 4A A7 FB CF A5 03 82 
            04 1F 86 20 B5 03 45 3B 2D 64 DA 93 BD 00 49 BC 78 AB 05 2B 
            B4 61 F5 39 D7 06 7C 14 71 4F EA B9 3B 92 BF 4B 9B 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 A0 86 E6 BA AB 7F E5 98 AE AC 9C C3 F0 B3 0C B7 3A D9 13 
           D9 11 53 00 4D 24 93 28 5B 31 F3 C1 BB F4 C0 5D 5E 29 9F A4 
           15 07 21 87 47 19 97 4E AB 83 18 04 C2 DE AB 73 55 80 7D F8 
           E0 4A D7 3F CB B7 82 70 6B 3A EF 04 0A 19 2A 4D 89 B1 5A C9 
           0D 15 EB EF 12 0B 14 B7 5A CD DE 0D 01 ED 97 23 F1 F5 50 10 
           5E 8F 34 8E 82 1A AC 0A 80 72 71 BE DA 69 51 55 F5 BE 02 E3 
           18 E1 4E C9 C2 8E 95 42 CB 11 37 A4 12 C9 19 82 BE 00 48 D1 
           82 8D 6E 66 4B 42 D0 0D 54 5B 0A 0A 52 26 29 59 EE F7 A9 3B 
           8F D9 BC 66 FA B4 7B 3A 98 D5 01 3F 45 55 52 F5 65 73 66 EE 
           FE 49 C2 01 C5 39 EE FD D1 B4 3E 13 78 CD 8C 4A 52 BF 2F 88 
           61 99 62 D9 AA AB 9B 46 CE E6 8A 9A DD 76 99 7B 46 1F C9 9A 
           4A 2C 9F 5C 7C 41 3A 1F 65 D5 54 AF 76 BC 62 28 B7 4D A3 73 
           41 3D 90 A6 1C 85 B2 DF 9C F8 A4 CA 61 24 15 65 2D 

Extension: Subject Key Identifier(2.5.29.14)
Critical: 0
Subject Key Identifier: AC 83 77 DA C4 37 4F F4 F9 1B 99 6F 8A B4 B1 8F F4 6F 97 73 


Extension: Authority Key Identifier(2.5.29.35)
Critical: 0
Key Identifier: D1 99 D8 C3 A0 20 CE B1 FE 39 58 10 68 F6 2C 7E EE 21 FA A0 


Extension: Basic Constraints(2.5.29.19)
Critical: 0


Fingerprints : 

SHA-256 Fingerprint: 57 CE BC E7 6B 22 60 95 76 F0 BA 56 3A F1 BC 92 9E 86 67 A4 
                     37 5D 83 93 36 9E 17 65 53 F8 BD C5 
SHA-1 Fingerprint: 9B 04 76 C7 F6 73 91 8E C3 05 3A 90 5F 2C 8C 43 0F 39 64 79 
MD5 Fingerprint: CD 74 45 2A 67 49 90 82 F5 BF ED A3 6F D9 FC 89 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIDczCCAlugAwIBAgIUOB6FCwPnUNHxk27+wus0ZJb8IL8wDQYJKoZIhvcNAQELBQAwNDEyMDAGA1UEAxMpRWxhc3RpYyBDZXJ0aWZpY2F0ZSBUb29sIEF1dG9nZW5lcmF0ZWQgQ0EwHhcNMjUxMjE1MDUzMjE3WhcNMjgxMjE0MDUzMjE3WjBkMRMwEQYKCZImiZPyLGQBGRYDY29tMRQwEgYKCZImiZPyLGQBGRYEc292MjEOMAwGA1UECxMFU09DdjIxJzAlBgNVBAMTHnJldmVyc2UtcHJveHktbXkubWFuYWdlc29jLmNvbTCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAK5iXDHIg85g2qRJbVhPMVlKpmVYjpm5AItrLqOePVDRuJXRfFiJM5sSBTweSlnEYTxUSTsF7J37YWBsTcLBiJHlIBaL5rSx25izUdtzdnALTaQsNiBHGOOtb1z0EmMWn/GgI7wVnTZDQyWVb9oeZ49cq/faaXf+g75X6onMlm25NnkYqpti71hYKFMFu84Ys3OzSkqnQHTMJjyh5N2lp6DdGs+FT/sJ3HresX6MyrPEismMfH+zSu21J2Yj5WXfD2JQTeYi+lpUPcH+Co3MLfF97Gl2Sqf7z6UDggQfhiC1A0U7LWTak70ASbx4qwUrtGH1OdcGfBRxT+q5O5K/S5sCAwEAAaNNMEswHQYDVR0OBBYEFKyDd9rEN0/0+RuZb4q0sY/0b5dzMB8GA1UdIwQYMBaAFNGZ2MOgIM6x/jlYEGj2LH7uIfqgMAkGA1UdEwQCMAAwDQYJKoZIhvcNAQELBQADggEBAKCG5rqrf+WYrqycw/CzDLc62RPZEVMATSSTKFsx88G79MBdXimfpBUHIYdHGZdOq4MYBMLeq3NVgH344ErXP8u3gnBrOu8EChkqTYmxWskNFevvEgsUt1rN3g0B7Zcj8fVQEF6PNI6CGqwKgHJxvtppUVX1vgLjGOFOycKOlULLETekEskZgr4ASNGCjW5mS0LQDVRbCgpSJilZ7vepO4/ZvGb6tHs6mNUBP0VVUvVlc2bu/knCAcU57v3RtD4TeM2MSlK/L4hhmWLZqqubRs7miprddpl7Rh/Jmkosn1x8QTofZdVUr3a8Yii3TaNzQT2QphyFst+c+KTKYSQVZS0=
-----END CERTIFICATE-----","","","","","","","","","None","","","","2008/05/19","2021/02/03","","",""
"10881","","","None","10.6.1.10","tcp","22","SSH Protocol Versions Supported","A SSH server is running on the remote host.","This plugin determines the versions of the SSH protocol supported by
the remote SSH daemon.","n/a","","The remote SSH daemon supports the following versions of the
SSH protocol :

  - 1.99
  - 2.0
","","","","","","","","","None","","","","2002/03/06","2026/01/12","","",""
"10884","","","None","10.6.1.10","udp","123","Network Time Protocol (NTP) Server Detection","An NTP server is listening on the remote host.","An NTP server is listening on port 123. If not securely configured,
it may provide information about its version, current date, current
time, and possibly system information.","n/a","http://www.ntp.org","
  An NTP service has been discovered, listening on port 123.

  No sensitive information has been disclosed.

  Version : unknown
","","","","","","","","","None","","IAVT:0001-T-0934","","2015/03/20","2021/02/24","","",""
